Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Fault prediction,Data driven,"CEEMDAN, Kurtosis, Correlation Factor, ICA, Particle flow optimization",Yes: Signal processing and feature extraction techniques,2.0,2-s2.0-85129986224,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Extended Kalman Filter', 'MLP', 'CNN']",No,3.0,2-s2.0-85213202950,['fault prediction'],['Fault prediction']
Additive manufacturing,Manufacturing systems,,"images, sensor data","['Fault prediction', 'Root cause analysis']",Data driven,"['Support Vector Machine', 'Convolutional Neural Network']",Yes: Support Vector Machine,4.0,2-s2.0-85134798775,"['fault prediction', 'root cause analysis']","['Fault prediction', 'Root cause analysis']"
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"Data driven, Rules and/or logic based",Yes: rules-based and visualization of images,4.0,2-s2.0-85206238999,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series, images",Fault prediction,Physics based,"Finite element model, Spectral analysis",Yes: Structural dynamics model and spectral analysis,4.0,2-s2.0-105006845473,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Deep learning,"['CNN', 'LSTM', 'Residual Networks']",No,4.0,2-s2.0-85086988427,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"Principal Component Analysis (PCA), similarity analysis",Yes: PCA is interpretable; similarity measures can be explained,4.0,2-s2.0-85081015806,['remaining useful life'],['Remaining Useful Life']
Manufacturing lines,Manufacturing systems,,sensor data,Fault prediction,Hybrid,"Petri nets, Big Data analysis",Yes: Petri nets,4.0,2-s2.0-85136969161,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"XGBoost, LightGBM, CatBoost",No,4.0,2-s2.0-105006842758,['fault prediction'],['Fault prediction']
Industrial systems / Piezoelectric sensors,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,LSTM network,No,2.0,2-s2.0-85191428014,['remaining useful life'],['Remaining Useful Life']
Manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,"['Multilinear Principal Component Analysis', 'CNN']",No,2.0,2-s2.0-85097576016,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Hybrid,Adversarial Cross domain Data Generation (ACDG),No,4.0,2-s2.0-85141832649,['fault prediction'],['Fault prediction']
Industrial-fluid pipelines,Industrial systems,,sensor data,Fault prediction,Physics based,"Wave propagation modeling, Signal processing",Yes: Physical wave-propagation model,4.0,2-s2.0-85074521161,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"['Transformer', 'Random Forest']",No,4.0,2-s2.0-85137411243,['remaining useful life'],['Remaining Useful Life']
Industrial pumping systems / Electro-pump systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,Extended Kalman Filter (EKF),Yes: Extended Kalman Filter,3.0,2-s2.0-85123861263,['fault prediction'],['Fault prediction']
Pharmaceutical facilities,Pharmaceutical facilities,,sensor data,Fault prediction,Hybrid,"['k-NN', 'Center Nearest Neighbor reconstruction']",Yes: rule-based / interpretable,4.0,2-s2.0-105009095999,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,ADALINE neural network,Yes: neural network (interpretable to some extent due to linearity of ADALINE),4.0,2-s2.0-85085505734,['fault prediction'],['Fault prediction']
Manufacturing (general),Manufacturing systems,,"wireless sensor networks (wsns), iot data, computer vision, virtual reality (vr)",Not specified,Other,Not specified,Not specified,1.0,2-s2.0-85172467821,['not specified'],['Other']
Industrial fan systems and centrifugal pumps,Industrial systems,,sensor data,Fault prediction,Data driven,CNN with atrous convolution,No,3.0,2-s2.0-85087278561,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Machine state classification,Data driven,Unsupervised machine learning,Yes: rule-based / interpretable features from ML,4.0,2-s2.0-85210417898,['machine state classification'],['Other']
Industrial systems (specifically induction machines and bearings of industrial equipment),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Linear models, tree-based models, neural networks","Yes: linear models, tree-based models are interpretable; neural networks are typically less so",4.0,2-s2.0-85183360134,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,vibration data,Fault prediction,Physics based,"Rigorous dynamics modeling, Potential energy method",Yes: detailed physics-based model,4.0,2-s2.0-105008939075,['fault prediction'],['Fault prediction']
Manufacturing equipment / Production systems,Manufacturing systems,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85165530396,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['FastICA', 'SCA']",Yes: Significance of denoising and separation techniques offers interpretability,3.0,2-s2.0-85084193408,['fault prediction'],['Fault prediction']
Industrial motors,Industrial systems,,sensor data,Fault prediction,Data driven,"['Hilbert transform', 'Fourier transform', 'AdaBoost', 'Attention mechanism']",Yes: Attention mechanism,4.0,2-s2.0-85097146574,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Grey Wolf Optimization', 'Principal Component Analysis']",No,2.0,2-s2.0-85092741668,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Artificial Neural Network,No,2.0,2-s2.0-85089086120,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Deep learning,No,2.0,2-s2.0-85115649473,['fault prediction'],['Fault prediction']
CNC manufacturing,Manufacturing systems,,sensor data,"['Remaining Useful Life', 'Fault prediction', 'Root cause analysis']",Data driven,LSTM,No,4.0,2-s2.0-105002393560,"['remaining useful life', 'fault prediction', 'root cause analysis']","['Fault prediction', 'Root cause analysis', 'Remaining Useful Life']"
Industrial equipment / Manufacturing,Industrial systems,,"structured data, natural language text",Fault prediction,Data driven,Text mining / Natural language processing,Yes: Interpretable text mining techniques,3.0,2-s2.0-85190146703,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Generative adversarial networks (GANs), specifically dual discriminator conditional GANs (D2CGANs)",No,4.0,2-s2.0-85082166599,['fault prediction'],['Fault prediction']
Industrial pumps / Pumping systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['DBSCAN', 'Spectral clustering']",Yes: Clustering techniques are interpretable methods,3.0,2-s2.0-85135907866,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Physics based,Electromagnetic–dynamic coupled modeling,Yes: physics-based modeling,2.0,2-s2.0-85137609808,['fault prediction'],['Fault prediction']
Electric motors in industrial operations,Industrial systems,,images,Fault prediction,Data driven,"Convolutional Neural Network (CNN), Wavelet transform",No,3.0,2-s2.0-85203606476,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,structured data,Remaining Useful Life,Data driven,"['Deep learning neural network (Keras)', 'Multilayer perceptron regressor', 'Support vector regression']",No,4.0,2-s2.0-85191129366,['remaining useful life'],['Remaining Useful Life']
Manufacturing (general) / Smart Manufacturing,Manufacturing systems,,"sensor data, iot device data","Fault prediction and Equipment efficiency metrics (e.g., OEE)",Data driven,"Machine learning, Real-time data analytics",No,4.0,2-s2.0-85196203826,"['fault prediction and equipment efficiency metrics (e.g.', ' oee)']","['Fault prediction', 'Other']"
"Industrial systems (electric motors), applicable to equipment fault detection in manufacturing or industrial maintenance contexts",Industrial systems,,sensor data,Fault prediction,Data driven,"Deep learning (specific architecture not specified, but involves CNNs or similar for image data)",No,4.0,2-s2.0-85149201497,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85210870245,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,,No,1.0,2-s2.0-85175097756,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,Not specified,No,4.0,2-s2.0-105000088864,['fault prediction'],['Fault prediction']
"Industrial systems (general), with a focus on equipment maintenance",Industrial systems,,sensor data,Fault prediction,Data driven,"['Logistic Regression', 'Random Forest', 'Isolation Forest']","Yes: Logistic Regression, Random Forest (partially interpretable)",3.0,2-s2.0-85200675373,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Dimensionality reduction methods (unspecified specific algorithms),No,3.0,2-s2.0-85146799686,['fault prediction'],['Fault prediction']
Industrial Equipment/Pumps,Industrial systems,,sensor data,Fault prediction,Data driven,Convolutional Neural Network (CNN),No,3.0,2-s2.0-85169011059,['fault prediction'],['Fault prediction']
Industrial machinery or plant equipment maintenance,Industrial systems,,video signals,Fault prediction,Data driven,"Video signal processing techniques (e.g., image/video analysis, possibly CNNs or pattern recognition methods)",Yes: rule-based evaluation and signal characterization,2.0,2-s2.0-85151511593,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"['Factorization machine', 'Separable convolution', 'Residual attention mechanism']",No,4.0,2-s2.0-85140928725,['remaining useful life'],['Remaining Useful Life']
Manufacturing systems,Manufacturing systems,,sensor data,['Fault prediction'],Rules and/or logic based,['Colored Petri Nets'],Yes: Petri Nets,4.0,2-s2.0-85149000999,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Not specified in the abstract,No,4.0,2-s2.0-85187702097,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,Artificial Intelligence (specific techniques not explicitly stated),No,3.0,2-s2.0-85188267736,['fault prediction'],['Fault prediction']
Industrial equipment or general industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning algorithms,No,3.0,2-s2.0-85109879121,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Nonnegative Tucker decomposition,Yes: Spectral and tensor analysis for fault signatures,4.0,2-s2.0-85137600007,['fault prediction'],['Fault prediction']
Pharmaceutical facilities,Pharmaceutical facilities,,"sensor data, time series",Fault prediction,Data driven,Machine learning techniques,No,4.0,2-s2.0-85187805753,['fault prediction'],['Fault prediction']
Manufacturing / Industry 4.0,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,"Meta-learning, AutoML",No,3.0,2-s2.0-85130887325,['remaining useful life'],['Remaining Useful Life']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"time series, structured data",Anomaly detection,Data driven,Spiking Neural Networks,Yes: continuous outlier scoring function,3.0,2-s2.0-85126007265,['anomaly detection'],['Fault detection']
Electrical motors in industrial settings,Industrial systems,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85089313722,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,K-Star classifier,Yes: K-Star classifier,3.0,2-s2.0-85151150942,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Autoencoders', 'Artificial Neural Network (ANN)', 'Random Forest (RF)']",No,3.0,2-s2.0-85195314989,['fault prediction'],['Fault prediction']
Automotive manufacturing / Industrial systems,Industrial systems,,sensor data,Fault prediction,Hybrid,"['Fuzzy TOPSIS', 'Process mining']",Yes: Fuzzy TOPSIS and Process Mining,3.0,2-s2.0-105009225282,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,ARMA-GARCH,Yes: model-based,4.0,2-s2.0-105003392821,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Motor Current Signature Analysis (MCSA),Yes: Spectral analysis / Harmonics analysis,3.0,2-s2.0-85190667899,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Fast Fourier Transform (FFT),Yes: FFT,4.0,2-s2.0-85187776461,['fault prediction'],['Fault prediction']
Concrete plants / Manufacturing facilities,Manufacturing systems,,sensor data,Maintenance forecasting,Data driven,Digital Twin technology,Yes: Digital Twin,4.0,2-s2.0-85215703225,['maintenance forecasting'],['Fault prediction']
"Industrial systems (induction motors, fault detection in machinery)",Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"LSTM, Bidirectional LSTM, MLP, CNN",No,0.0,2-s2.0-85144677776,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Electrostatic sensing technique,Yes: Electrostatic sensing technique,3.0,2-s2.0-85156106565,['fault prediction'],['Fault prediction']
Textile manufacturing,Manufacturing systems,textile,sensor data,Fault prediction,Data driven,Artificial neural networks,No,3.0,2-s2.0-85202540898,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,"Remaining Useful Life, Fault prediction, Localization",Data driven,"['Autoencoder', 'LSTM', 'RNN', 'SVM']",No,4.0,2-s2.0-105000675847,"['remaining useful life', ' fault prediction', ' localization']","['Fault prediction', 'Root cause analysis', 'Remaining Useful Life']"
Industrial machines,Industrial systems,,"images, sensor data","Fault prediction, Anomaly detection",Data driven,"Deep neural networks (DNNs), CNNs (for thermal image analysis)",No,4.0,2-s2.0-85133254430,"['fault prediction', ' anomaly detection']","['Fault prediction', 'Fault detection']"
Electrical rotating machines / Industry 4.0 / Industrial systems,Industrial systems,Rotating machinery / Bearings,"['sensor data', 'time series', 'structured data']",['Fault prediction'],Data driven,"['Neural Network', 'Linear discriminant analysis']",Yes: Linear discriminant analysis,4.0,2-s2.0-85166192136,['fault prediction'],['Fault prediction']
Thermoelectric cooling systems,Cooling,,sensor data,Fault prediction,Data driven,Support Vector Machine (SVM),No,2.0,2-s2.0-85124571725,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sequential data,Fault prediction / Failure occurrence time / Health states estimation,Data driven,Hidden Markov Model (HMM),Yes: Hidden Markov Model,1.0,2-s2.0-85201963748,['fault prediction / failure occurrence time / health states estimation'],"['Fault prediction', 'Other']"
Manufacturing,Manufacturing systems,,"['sensor data', 'historical data']",['Fault prediction'],Data driven,Machine learning,No,2.0,2-s2.0-85207024778,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,Machine learning,No,3.0,2-s2.0-105007371600,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,"['Gradient Boosting', 'CatBoost', 'Random Forest']",No,4.0,2-s2.0-105007224173,['remaining useful life'],['Remaining Useful Life']
Manufacturing / Industrial systems,Industrial systems,,simulated real-time datasets,Not explicitly specified (likely Fault prediction or Asset management decisions),Hybrid,Quantum Cat Swarm Optimization (QCSO),No,3.0,2-s2.0-85181980399,['not explicitly specified (likely fault prediction or asset management decisions)'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Hybrid,Rules and ML,Yes: Rule-based,4.0,2-s2.0-85205096440,['fault prediction'],['Fault prediction']
Manufacturing / Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning algorithms,No,4.0,2-s2.0-85196706297,['fault prediction'],['Fault prediction']
Manufacturing / Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Online learning algorithms,No,4.0,2-s2.0-85187695238,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,"sensor data, structured data","Remaining Useful Life, Fault prediction",Data driven,"Machine Learning (unspecified), SQL database queries",No,3.0,2-s2.0-85187698748,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Industrial systems (general fault detection in large data systems),Industrial systems,,"diagnostic data, sensor data, time series",Fault prediction,Data driven,"Regression analysis, Statistical data analysis, Visualization methods",Yes: Visualization,3.0,2-s2.0-85174440608,['fault prediction'],['Fault prediction']
Manufacturing / Industry 4.0,Manufacturing systems,,sensor data,Predictive maintenance / Predictive knowledge,Data driven,"AutoML, Meta-learning",No,3.0,2-s2.0-85135011463,['predictive maintenance / predictive knowledge'],"['Predictive maintenance', 'Other']"
Manufacturing production lines,Manufacturing systems,,structured data,Fault prediction,Data driven,Network Analysis,Yes: Network Analysis,2.0,2-s2.0-85151051153,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Hybrid,Physics based,Yes: rule-based and physics-based features,4.0,2-s2.0-85172243752,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, unstructured data",Fault prediction,Hybrid,"Ontology, Machine learning, Data mining",Yes: Ontologies and semantic reasoning,4.0,2-s2.0-85131125560,['fault prediction'],['Fault prediction']
Rotating machinery / Turbomachinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Signal analysis, possibly involving vibration signal processing techniques (e.g., FFT, time-frequency analysis)",Yes: Signal analysis techniques are inherently interpretable,3.0,2-s2.0-85102653756,['fault prediction'],['Fault prediction']
"Not explicitly specified, but related to systems with sensor data, possibly industrial or mechanical systems",Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,CNN,No,3.0,2-s2.0-85101354212,['remaining useful life'],['Remaining Useful Life']
Industrial sensors / Measurement systems,Industrial systems,,sensor data,Fault prediction,Data driven,Simulation,Yes: Simulation and model-based analysis,3.0,2-s2.0-85113523569,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,,No,4.0,2-s2.0-85213379557,['remaining useful life'],['Remaining Useful Life']
Industrial machinery/drive systems,Industrial systems,,sensor data,Fault prediction,Hybrid,"Physical friction models, Data-driven techniques",Yes: Physical models,4.0,2-s2.0-85213407382,['fault prediction'],['Fault prediction']
Industrial processes,Industrial systems,,sensor data,Anomaly detection / Fault prediction,Data driven,Autoencoder neural network,Yes: reconstruction error,4.0,2-s2.0-85181977643,['anomaly detection / fault prediction'],"['Fault prediction', 'Fault detection']"
"Manufacturing/Production systems (including electronic wafers, MEMS, OLED screens, etc.)",Manufacturing systems,,"sensor data, time series, images","Fault prediction, Remaining Useful Life",Data driven,"Statistical methods, Signal processing, Deep learning",No,3.0,2-s2.0-85102621071,"['fault prediction', ' remaining useful life']","['Fault prediction', 'Remaining Useful Life']"
Industrial equipment / legacy machinery / industrial systems,Industrial systems,,sensor data,Failure forecasting / Predictive maintenance,Data driven,Not specifically mentioned,No,3.0,2-s2.0-105009005562,['failure forecasting / predictive maintenance'],"['Fault prediction', 'Predictive maintenance']"
Industrial systems / Machinery fault diagnosis,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,"['FFT', 'K-means clustering', 'CNN']",No,3.0,2-s2.0-85161543909,['fault prediction'],['Fault prediction']
Textile manufacturing,Manufacturing systems,textile,sensor data,Predictive maintenance,Data driven,"Not specified explicitly, but data processing suggests statistical or ML-based methods",No,3.0,2-s2.0-85111400001,['predictive maintenance'],['Predictive maintenance']
Commercial buildings,Commercial buildings,,sensor data,"Environmental condition monitoring / Predictive maintenance signals (implied: for ventilation, lighting, air conditioning systems)",Hybrid,"Rule-based and data-driven methods (implied by integration of hardware sensors, software dashboards, and process algorithms)",Yes: Rule-based components and interpretable dashboards,2.0,2-s2.0-85145076034,"['environmental condition monitoring / predictive maintenance signals (implied: for ventilation', ' lighting', ' air conditioning systems)']","['Predictive maintenance', 'Other']"
Industrial valves / Oil and gas industry,Industrial systems,Oil and Gas,sensor data,Fault prediction,Data driven,"CFD, FEA",No,2.0,2-s2.0-85128949005,['fault prediction'],['Fault prediction']
Manufacturing equipment,Manufacturing systems,,sensor data,Fault prediction,Data driven,Not specified,No,4.0,2-s2.0-85119406336,['fault prediction'],['Fault prediction']
Manufacturing (specifically capping and filling machinery),Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,Exponential degradation model,Yes: Principal component analysis and degradation model are interpretable techniques,4.0,2-s2.0-85128972087,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Hybrid,"Machine Learning models, reasoning, and planning algorithms",No,4.0,2-s2.0-105009210512,['remaining useful life'],['Remaining Useful Life']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Wavelet analysis,Yes: wavelet analysis,3.0,2-s2.0-85092180985,['fault prediction'],['Fault prediction']
Industrial maintenance / Industry 4.0,Industrial systems,,"sensor data, big data, iot data","Maintenance optimization, decision-making",Data driven,Not specified,No,2.0,2-s2.0-85161376719,"['maintenance optimization', ' decision-making']",['Other']
Industrial systems,Industrial systems,,structured data,Fault prediction,Data driven,"['Decision tree', 'Random forest', 'Gradient Boosting Machines', 'XGBoost', 'Light GBM', 'CatBoost']","Yes: decision tree, random forest, GBM, XGBoost, Light GBM, CatBoost are known for being interpretable or explorable",3.0,2-s2.0-85151046204,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,['Remaining Useful Life'],Data driven,Signal analysis / Key indicators extraction,Yes: Key indicators analysis,3.0,2-s2.0-85128927945,['remaining useful life'],['Remaining Useful Life']
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,FFT analysis,Yes: Fourier transform,3.0,2-s2.0-85088998966,['fault prediction'],['Fault prediction']
Industrial IoT systems,Industrial systems,,sensor data,Forecasting / Fault detection,Data driven,Artificial intelligence model (unspecified),No,2.0,2-s2.0-85130231787,['forecasting / fault detection'],"['Fault prediction', 'Fault detection']"
Industrial systems (pumps and fans in oil and gas industry),Industrial systems,Oil and Gas,"sensor data, time series","Remaining Useful Life, Fault prediction",Hybrid,"Digital twins, Vibration analysis",Yes: Digital twins and vibration analysis are interpretable techniques,4.0,2-s2.0-85172197449,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Industrial systems,Industrial systems,,sensor data,"Remaining Useful Life, Fault prediction",Data driven,AI algorithms (implied but not specified),No,3.0,2-s2.0-85181832525,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Manufacturing,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,Not specified,No,3.0,2-s2.0-85102643875,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85112019257,['fault prediction'],['Fault prediction']
Gearbox systems in manufacturing and industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning algorithms,No,3.0,2-s2.0-85140785088,['fault prediction'],['Fault prediction']
Apparel manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85135850266,['fault prediction'],['Fault prediction']
Industrial systems / machinery (specifically gearboxes),Industrial systems,,sensor data,Fault prediction,Data driven,Dictionary learning,Yes: Dictionary learning-based feature extraction,1.0,2-s2.0-85206379684,['fault prediction'],['Fault prediction']
"Industrial systems (general), with emphasis on maintenance and Industry 4.0 applications",Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning,No,4.0,2-s2.0-85102611963,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, structured data","Remaining Useful Life, Fault prediction",Data driven,"Machine Learning (implied, as the abstract mentions combining rules and ML)",No,3.0,2-s2.0-85111388675,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Pharmaceutical facilities,Pharmaceutical facilities,,"sensor data, time series",Fault prediction,Data driven,"['Complex Morlet Wavelet', 'CNN', 'LSTM']",No,3.0,2-s2.0-85123417787,['fault prediction'],['Fault prediction']
Industrial heat treatment systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Sensor-based analysis (implied), possibly threshold rules",Yes: rules-based / threshold-based analysis,4.0,2-s2.0-85174448271,['fault prediction'],['Fault prediction']
Industrial manufacturing processes,Industrial systems,,sensor data / acoustic emission signals,Fault prediction / Condition monitoring,Data driven,Decision Tree / Classification and Regression Trees (CART),Yes: Decision Tree / CART,4.0,2-s2.0-85079152050,['fault prediction / condition monitoring'],"['Fault prediction', 'Other']"
Industrial systems,Industrial systems,,structured data,Fault prediction,Rules and/or logic based,Quadratic boundedness approach,Yes: Rules and logic based methods,1.0,2-s2.0-85175736734,['fault prediction'],['Fault prediction']
Manufacturing / Industrial systems,Industrial systems,,sensor data,Root cause analysis,Data driven,Not explicitly mentioned,No,3.0,2-s2.0-85177876267,['root cause analysis'],['Root cause analysis']
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"['Support Vector Machine (SVM)', 'Multiscale Entropy (MSE)']",No,3.0,2-s2.0-85131956828,['fault prediction'],['Fault prediction']
Rolling bearings,Rotating machinery,Rotating machinery / Bearings,"sensor data, time series",Remaining Useful Life,Data driven,"Multi-attention, Multi-scale Temporal Convolution Network (TCN)",No,3.0,2-s2.0-85186709211,['remaining useful life'],['Remaining Useful Life']
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Threshold-based detection,Yes: Threshold setting,3.0,2-s2.0-85125261445,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,images,Fault prediction,Data driven,CNN,No,2.0,2-s2.0-85190394794,['fault prediction'],['Fault prediction']
Industrial equipment / Electric motors,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Descriptor observer, Linear matrix inequality (LMI)",Yes: Descriptor observer with LMI conditions,2.0,2-s2.0-85092687291,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Spectral analysis, feature extraction (implied signal processing techniques)",Yes: spectral behaviour of the grating profile and feature extraction,4.0,2-s2.0-85141700108,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,images,Fault prediction,Data driven,"['Transfer learning', 'K-Nearest Neighbor (KNN)']",No,2.0,2-s2.0-85120606102,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Not specified,No,1.0,2-s2.0-85121650116,['fault prediction'],['Fault prediction']
Industrial electric machines (induction motors),Industrial systems,,sensor data,Fault prediction,Data driven,Bragg shift analysis from Fiber Bragg Gratings (FBG),Yes: interpretable features based on Bragg shifts and divergence levels,4.0,2-s2.0-85141737852,['fault prediction'],['Fault prediction']
"Industrial systems involving valve actuators and fault diagnosis, such as manufacturing or process control facilities",Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Multi-Input Convolutional Neural Network (MICNN), Empirical Mode Decomposition (EMD), SVM, BPNN (Back Propagation Neural Network)",No,2.0,2-s2.0-85135139122,['fault prediction'],['Fault prediction']
Industrial manufacturing / Heat exchangers,Industrial systems,,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,"['LSTM', 'ARIMA', 'SVM']",No,3.0,2-s2.0-85149925698,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Singular Value Decomposition (SVD),Yes: feature selection and noise filtering techniques,4.0,2-s2.0-85142723234,['remaining useful life'],['Remaining Useful Life']
