Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Other,Other,,sensor data,Fault prediction,Data driven,"Deep neural network (DNN), Firefly algorithm (FA)",No,4.0,2-s2.0-85145473215
Satellite systems,Satellite systems,,sensor data,Fault prediction,Data driven,"['Kalman filter', 'Interacting Multiple Model (IMM)']","Yes: Kalman filter, IMM",1.0,2-s2.0-85136126539
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,Machine Learning,No,4.0,2-s2.0-85164419054
HVAC,HVAC,,"sensor data, structured data",['Fault prediction'],Data driven,Not specified,No,4.0,2-s2.0-85143710436
Oil and Gas (O&G) industry,Oil and gas industry,Oil and Gas,sensor data,Fault prediction,Data driven,Not specified explicitly,No,2.0,2-s2.0-85086263162
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Data driven,"['PCA', 'ABC-LVQ neural network']",Yes: PCA is interpretable; neural network is generally less interpretable but combining with PCA provides some explainability,3.0,2-s2.0-85096163305
Other,Other,,unstructured data,Fault prediction,Logic based,Linear temporal logic formulas,Yes: linear temporal logic formulas,0.0,2-s2.0-85129981237
Industrial Cyber-Physical Systems,Industrial systems,,sensor data,Fault prediction,Data driven,Not explicitly specified; likely machine learning or AI-based methods,No,3.0,2-s2.0-85146319904
Oil and gas industry / Gas lift equipment,Oil and gas industry,Oil and Gas,"sensor data, maintenance logs, operational parameters, production goals",Failure prediction,Data driven,"Support Vector Machines, Random Forest, Neural Networks, Ensemble modeling",No,4.0,2-s2.0-105004982042
Robotics,Robotics,robots,sensor data,Fault prediction,Rules and/or logic based,Nonlinear observer,Yes: Nonlinear observer,2.0,2-s2.0-85146984106
Industrial systems using sensor data for prognostics,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Hidden Markov Model (HMM), Baum-Welch algorithm, Forward-Backward algorithm",Yes: Hidden Markov Model (HMM) and its algorithms are interpretable models,4.0,2-s2.0-85138252997
Manufacturing / Machining processes,Manufacturing systems,,sensor data,Fault prediction,Data driven,Unsupervised learning (using Mahalanobis squared-distance for novelty detection),Yes: Mahalanobis distance-based novelty detection,2.0,2-s2.0-85091521632
Mechanical systems / Rotating machinery,Mechanical systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"CNN, Autoencoders, Multilayer Perceptron, Residual Networks",No,4.0,2-s2.0-85122754067
Food industry,Other,,sensor data,Fault prediction,Data driven,Machine Learning (ML),No,3.0,2-s2.0-85164414451
Stratospheric airship control system,Other,,sensor data,Fault prediction,Data driven,"Moving window kernel principal component analysis, clustering algorithm (mean shift clustering with weighted Euclidean distance)",Yes: Kernel PCA and clustering are interpretable techniques,2.0,2-s2.0-85176957092
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-105011088423
Battery systems,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Physics based,"State space model, Luenberger observer, Quickest Change Detection (QCD), Cumulative Sum algorithm","Yes: Physics based models, residual analysis",3.0,2-s2.0-85182400869
Other,Other,,sensor data,Fault prediction,Data driven,Parameter estimation algorithms,Yes: Parameter estimation algorithms,3.0,2-s2.0-105004984879
Residential DC microgrids,Other,,"['sensor data', 'time series', 'structured data']","['Fault prediction', 'Residual current detection']",Data driven,,No,2.0,2-s2.0-105008069105
HVAC,HVAC,,sensor data,Root cause analysis,Hybrid,"Factor graphs, Kernel density estimation","Yes: factor graphs, mutual information",3.0,2-s2.0-85084144746
Telecommunications infrastructure (Base Transceiver Stations),Other,,structured data,Fault prediction,Data driven,Not specified,Yes: Stakeholder involvement and holistic explanation framework,3.0,2-s2.0-85118443218
Machine tool systems,Other,,sensor data,Remaining Useful Life,Data driven,"Classification models, Monte Carlo simulation",No,4.0,2-s2.0-85121534071
Mechanical devices or electrical equipment in industrial applications,Industrial systems,,structured data,Remaining Useful Life,Hybrid,Hidden Markov Models,Yes: Residual generation and Markov model provide interpretability,3.0,2-s2.0-85114158643
Mechanical systems / Rotating machinery,Mechanical systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['Hilbert transform', 'Neighborhood component analysis (NCA)', 'Relief Algorithm (RA)', 'Support Vector Machine (SVM)']",No,2.0,2-s2.0-85114441519
Automotive systems (specifically dual clutch transmission),Transportation systems,vehicles,sensor data,Fault prediction,Rules and/or logic based,Unknown input observer (UIO),Yes: rules and observer-based logic,2.0,2-s2.0-85130193167
Industrial machinery / Lubrication systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Hidden semi-Markov model, Expectation-Maximization, Bayesian updating, Time series modeling",Yes: Bayesian updating and state modeling are interpretable techniques,3.0,2-s2.0-85113648994
Automotive industry,Transportation systems,vehicles,time series,Fault prediction,Data driven,"['LSTM', 'Denoising Autoencoder (DAE)', 'k-means']",No,2.0,2-s2.0-105005141874
Power plant systems,Power systems,,sensor data,Fault prediction,Data driven,"['Autoencoder', 'Hierarchical extreme learning machines', 'One-class classifier', 'Principal component analysis', 'Deep belief network']",No,3.0,2-s2.0-85071572408
Gear transmission systems,Other,,vibration data,Signal transfer paths and contribution analysis,Rules and/or logic based,Operational Transfer Path Analysis (OTPA),Yes: rules and transfer path analysis,3.0,2-s2.0-85204086732
Aircraft engine systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,Multi-label learning,No,2.0,2-s2.0-85117595137
Oil and Gas / Deepwater Wells,Oil and gas industry,Oil and Gas,"['sensor data', 'time series', 'simulation data']",['Fault prediction'],Data driven,"['PCA', 'LSTM Autoencoders']","Yes: PCA provides interpretable features, LSTM Autoencoders offer some interpretability in reconstruction error",3.0,2-s2.0-85149270847
Aerospace systems,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Principal Component Analysis (PCA),"Yes: Correlation analysis, PCA, and objective function considerations are interpretable techniques",4.0,2-s2.0-85215276900
Industrial robotic systems,Robotics,robots,"['sensor data', 'time series', 'images']",['Fault prediction'],Data driven,"FFT, Continuous Wavelet Transform","Yes: Fourier Transform, Wavelet Transform",3.0,2-s2.0-85142449424
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"PCA, OPTICS clustering, k-means","Yes: PCA for feature reduction, clustering for interpretability",4.0,2-s2.0-85177203270
Distribution systems,Other,,"sensor data, time series",Fault prediction,Hybrid,"Enhanced phase-locked loop (EPLL), Search algorithms",Yes: Feature analysis based on transient boundaries and magnitude differences,4.0,2-s2.0-85197249033
Gas turbine engines,Gas,,sensor data,Fault prediction,Data driven,Support Vector Regression (SVR),No,2.0,2-s2.0-85073930159
Wireless Sensor Networks,Sensor networks,,"sensor data, structured data",Fault prediction,Data driven,Not explicitly specified in the abstract,No,2.0,2-s2.0-85118970442
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Data driven,"CNN, transfer learning",No,2.0,2-s2.0-85091508894
Other,Other,,sensor data,Fault prediction,Hybrid,Digital twin,Yes: Rules and ML,2.0,2-s2.0-85208412669
Electric Vehicles,Transportation systems,Vehicles,digital logic signals,Fault prediction,Rules and/or logic based,Digital logic circuit,Yes: Digital logic circuit,2.0,2-s2.0-85112565154
Oil and Gas Facilities / Marine Systems (FPSO units),Oil and gas industry,Oil and Gas,sensor data,Fault prediction,Bayesian networks,Dynamic Bayesian network (DBN),Yes: Bayesian network,3.0,2-s2.0-85133361910
Other,Other,,sensor data,Fault prediction,Rules and/or logic based,"Fuzzy systems, Particle swarm optimization, Lyapunov stability analysis",Yes: Fuzzy systems,2.0,2-s2.0-85176111475
Power distribution networks,Power systems,,sensor data,Fault prediction,Data driven,Data matching and analysis (implied data-driven methods),Yes: interpretable techniques,2.0,2-s2.0-85099658100
Aerospace systems / Aircraft systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Rules and/or logic based,Observer-based robust H8 design,Yes: Observer-based approach,0.0,2-s2.0-85099875652
Offshore full-processing platforms,other,,"sensors, cameras, digital twin, robots, drones, rovs",Predictive maintenance,Data driven,Predictive analytics,No,0.0,2-s2.0-85086270256
Chiller systems,HVAC,,"sensor data, time series",Fault prediction,Data driven,"['Multi-scale CNN', 'Bidirectional LSTM', 'Attention mechanisms']",No,3.0,2-s2.0-85138245259
Aerospace systems / Aerospace control systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction / Diagnosis,Data driven,"Multiscale Convolution Neural Attention Network, Synthetic Minority Over-sampling Technique",No,3.0,2-s2.0-105005232214
Chip manufacturing,Chip manufacturing,,structured data,Fault prediction,Data driven,Genetic algorithm optimized back propagation neural network (GA-BP),No,3.0,2-s2.0-85146517730
Industrial machinery / Mechanical equipment,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Graph convolutional network (GCN), Self-attention mechanism, Dilated convolutional network (DCN)",No,4.0,2-s2.0-85200713134
Electrical power systems / Power grid monitoring,Power systems,,sensor data,Fault prediction,Data driven,Deep Learning,No,2.0,2-s2.0-85197283514
Automotive/Autonomous Driving,Transportation systems,vehicles,sensor data,Fault prediction,Rules and/or logic based,Sliding mode observer (SMO),Yes: Threshold-based detection and fault reconstruction,3.0,2-s2.0-85092633008
"Industrial plant operations (specifically seawater injection system, which could pertain to industrial or water treatment facilities)",Industrial systems,,process sensors information,System operation status and maintenance state,Knowledge based,Multilevel Flow Modeling (MFM),Yes: cause-consequence reasoning rules,3.0,2-s2.0-85153062271
Robotics / Mobile robots,Robotics,robots,sensor data,Fault prediction,Hybrid,"Extended Kalman Filter, Duplication–comparison method",Yes: Residuals and threshold-based fault detection,1.0,2-s2.0-85087990510
Industrial systems (specifically UV lamp systems in manufacturing/industrial applications),Industrial systems,,sensor data,Remaining Useful Life,Data driven,Data matching with lifetime models,Yes: rule-based models and data comparison,4.0,2-s2.0-85163940229
Industrial systems / Manufacturing environments,Industrial systems,,"sensor data, spike data, images","Data quality enhancement for predictive maintenance, High-quality data support",Data driven,"Spike processing, Image reconstruction, Feature extraction",No,3.0,2-s2.0-105006490414
Industrial robotics,Robotics,robots,sensor data,Fault prediction,Rules and/or logic based,Residual-based monitoring / Monitoring filters,Yes: Residual-based monitoring,2.0,2-s2.0-85099883551
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Random forest,No,2.0,2-s2.0-85103856914
Oil and Gas/Downhole Equipment,Oil and gas industry,Oil and Gas,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,"Artificial Intelligence, Feature engineering",No,2.0,2-s2.0-85147334065
Industrial manufacturing / Production lines,Industrial systems,,sensor data,Remaining Useful Life,Data driven,LSTM (a type of RNN),No,4.0,2-s2.0-85184797835
Autonomous Vehicles / Autonomous Driving Systems,Transportation systems,Vehicles,"images, point clouds (lidar data)","Fault prediction, Sensor data quality assessment",Data driven,"CNN, Metric learning",No,2.0,2-s2.0-85120955317
Sugar Cane Producing facilities,Other,,sensor data,Fault prediction,Data driven,Partial discharge sensors analysis,Yes: Rules and/or logic based,2.0,2-s2.0-105005851093
Other,Other,,structured data,Fault prediction,Data driven,,No,1.0,2-s2.0-85099668281
Oil and Gas Production Systems,Oil and gas industry,Oil and Gas,sensor data,Fault prediction,Data driven,Not explicitly specified,No,4.0,2-s2.0-85149277482
Industrial oven / Thermal processing equipment,Industrial systems,,sensor data,Forecasting / Unknown quantities,Data driven,"['Factor graphs', 'Gaussian Mixture Models']",Yes: Probabilistic inference and factor graphs are interpretable based on expert knowledge and probabilistic models,2.0,2-s2.0-85126003686
Industrial systems,Industrial systems,,time series,Fault prediction,Data driven,"Fault tree analysis, collaborative data analytics",Yes: Fault tree analysis,4.0,2-s2.0-85124903913
Wireless Sensor Networks,Sensor networks,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85185549973
Aerospace / Aero-engines,Aicraft / Aviation / Aerospace,,sensor data,['Remaining Useful Life'],Hybrid,"['Gas Path Analysis (GPA)', 'Model-based methods']",Yes: gas path analysis (GPA) is interpretable,4.0,2-s2.0-85089513930
Industrial systems / Machinery / Wind Power and Industrial Fan Systems,Industrial systems,Wind energy systems,"sensor data, images",Fault prediction,Data driven,Convolutional Autoencoder Neural Network (CANN),No,2.0,2-s2.0-85146063501
Electric Vehicle (EVs) and All Electric Aircrafts (MEA) in safety-critical applications,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,Digital analysis,Yes: Interpretable digital analysis,4.0,2-s2.0-85146361480
Reciprocating compressor in petrochemical industry,Other,,sensor data,Indicator diagram reconstruction,Data driven,Numerical simulation (ANSYS),Yes: Numerical simulation and relationship analysis,3.0,2-s2.0-85174262488
Civil engineering structures,Civil infrastructure,,satellite sar observations,Early damage detection / Fault prediction,Physics informed,"Modal analysis, micro-motion estimation","Yes: Modal properties, natural frequencies, mode shapes",2.0,2-s2.0-85106057626
Structural health monitoring systems,Structural health monitoring,,sensor data,Fault prediction,Rules and/or logic based,Analytical redundancy,Yes: Analytical redundancy,2.0,2-s2.0-85177221657
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Acoustic emission analysis,No,4.0,2-s2.0-105001661541
Industrial machining,Industrial systems,,structured data,Fault prediction,Data driven,Clustering algorithm,Yes: clustering,4.0,2-s2.0-85108156952
Sensor systems,Sensor networks,,sensor data,Stored measurements / Quantitative results,Other,None explicitly mentioned,No,0.0,2-s2.0-85149878485
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"Anomaly detection techniques (implied, e.g., statistical methods, machine learning algorithms)",Yes: Visualizing faults in BIM and anomaly detection provides interpretability,4.0,2-s2.0-85177216413
Offshore floating structures,Other,,sensor data,Fault prediction,Hybrid,"Digital twin, Risk based Inspection (RBI), possibly machine learning algorithms",Yes: Rules and physical models (digital twin),2.0,2-s2.0-105004982776
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"Capsule neural networks, CNN",No,2.0,2-s2.0-85071014452
Distribution grid / Power systems,Power systems,,sensor data,Fault prediction,Data driven,Not specified explicitly,No,4.0,2-s2.0-85164392897
Spacecraft attitude control systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,Not explicitly specified,No,1.0,2-s2.0-85148502712
HVAC,HVAC,,sensor data,Fault prediction,Hybrid,"Supervised classification, unsupervised learning, regression, statistics-based",Yes: rules and statistical methods,5.0,2-s2.0-85177186792
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"['CNN', 'Bidirectional GRU']",No,3.0,2-s2.0-85166669511
Railway systems,Transportation systems,trains,sensor data,Fault prediction,Rules and/or logic based,Rules-based control,Yes: Rules-based,0.0,2-s2.0-85147559238
Industrial machines,Industrial systems,,sensor data,Fault prediction,Data driven,Recurring broad learning model,No,4.0,2-s2.0-85088473969
"Industrial systems involving mechanical equipment, specifically bearing systems.",Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Neural network, empirical wavelet transform, empirical mode decomposition, wavelet transform, honey bee optimization",No,2.0,2-s2.0-85162993999
Offshore energy facilities,Energy systems (not HVAC),,"sensor data, images","['Fault prediction', 'Remaining Useful Life']",Data driven,"Machine Learning (implied, as the study discusses data collection for predictive maintenance and performance validation)",No,4.0,2-s2.0-105004981730
Semiconductor manufacturing (ICs) / Electronics,Manufacturing systems,,sensor data,"Fault prediction, Remaining Useful Life",Data driven,"Embedded sensors, EDA methodologies (implied, not explicitly specified)",Yes: interpretable diagnostics and anomaly detection,3.0,2-s2.0-105011039002
"Industrial systems involving vibrating equipment, specifically linear vibrating screens in material processing or manufacturing facilities",Industrial systems,,images,Fault prediction,Data driven,"CNN, Recurrence Plot (RP)",No,4.0,2-s2.0-85181224441
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Fault detection and classification (FDC),Yes: trend analysis and threshold-based monitoring,3.0,2-s2.0-85218922195
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Deep convolutional neural network (CNN),No,2.0,2-s2.0-85078464206
Oil and gas drilling industry,Oil and gas industry,Oil and Gas,"sensor data, time series","Fault prediction, Remaining Useful Life",Data driven,"ARIMA, logic-based algorithm, machine learning (ML)","Yes: logic-based algorithm, interactive dashboard",4.0,2-s2.0-85086279269
Gas turbines / Power plant equipment,Power systems,,"emissions models, predictive emissions monitoring system (pems), algorithm outputs",Emission levels / combustion tuning parameters,Data driven,"Proprietary combustion algorithm, emissions models",Yes: rule-based / model-driven component,4.0,2-s2.0-85213689296
Steam turbine / Power generation equipment,Power systems,,sensor data,Sensor placement optimization,Hybrid,"Shannon Entropy theory, statistical variance estimation",Yes: Shannon Entropy theory,2.0,2-s2.0-85135210856
Gas turbine systems,Gas,,sensor data,Fault prediction,Hybrid,"Subspace algorithm, Lyapunov-based observer",Yes: Observer-based approach with decision logic,4.0,2-s2.0-85102012021
Aerospace,Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,Data driven,End-to-end neural networks,No,4.0,2-s2.0-85091638885
Spacecraft systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,"Euclidean distance analysis, Statistical analysis",Yes: Euclidean distance and statistical methods are interpretable,3.0,2-s2.0-85150426295
Power generation equipment (specifically power generators),Power systems,,"['images', 'acoustic response data', 'electromagnetic sensor data']","['Fault prediction', 'Health assessment']",Data driven,"Sensor analysis methods, potentially machine learning or signal processing techniques (though not explicitly specified)",Yes: interpretable analysis of sensor data,3.0,2-s2.0-85115446877
Aerospace / Turbomachinery,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85177199856
HVAC,HVAC,,sensor data,Fault prediction,Data driven,"Genetic algorithm, Info-theoretic measures, Symbolic regression, k-Nearest Neighbors",Yes: Symbolic regression,3.0,2-s2.0-85204445999
Power transmission systems,Power systems,,sensor data,Fault prediction,Data driven,"Microcontroller monitoring, IoT data analysis",Yes: rule-based detection and simple threshold analysis,3.0,2-s2.0-85089977246
Textile manufacturing,Manufacturing systems,textile,sensor data,Fault prediction,Data driven,Particle Swarm Optimization,No,2.0,2-s2.0-85172211007
Battery systems / Lithium-ion batteries,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Data driven,"Statistical analysis, Fault diagnosis algorithm",Yes: statistical thresholds and analysis,3.0,2-s2.0-85089577336
Food processing,other,,sensor data,Fault prediction,Data driven,"Data logging, real-time load monitoring, control algorithms",Yes: control logic and algorithms,3.0,2-s2.0-85209893364
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Convolutional Neural Network (CNN)', 'Principal Component Analysis (PCA)']",No,4.0,2-s2.0-85119965278
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"Deep learning architectures, PCA",No,3.0,2-s2.0-85178380308
Smart city infrastructure,Civil infrastructure,,sensor data,Fault prediction,Data driven,"Machine Learning (implied, unspecified)",No,2.0,2-s2.0-85172258064
Nuclear power plant systems,Power systems,nuclear,time series,Remaining Useful Life,Data driven,"['Auto Associative Kernel Regressor', 'Hidden Markov Model (HMM)', 'Gradient Boosting Regressor Decision Tree (GBRDT)']",No,2.0,2-s2.0-85210255057
Gas turbines,Gas,,sensor data,Fault prediction,Supervised learning,Support Vector Machine (SVM),No,3.0,2-s2.0-85099780872
HVAC,HVAC,,sensor data,Remaining Useful Life,Hybrid,Genetic programming / Symbolic regression,Yes: analytical expression / symbolic regression,4.0,2-s2.0-85167794130
Vehicular systems,Other,,diagnostic trouble codes (dtcs),Next DTC prediction,Data driven,"['Transformer', 'GRU', 'LSTM']",No,2.0,2-s2.0-85197718760
Motion systems,Other,,output-only measurements,Fault prediction,Data driven,Transmissibility operators,Yes: Transmissibility operators,2.0,2-s2.0-85111923055
Industrial systems / Cyber-Physical Production Systems (CPPS),Industrial systems,,sensor data,"['Fault prediction', 'Root cause analysis']",Data driven,"Simulation using Unity physics engine, ML algorithms for anomaly detection and diagnosis",No,3.0,2-s2.0-85150430706
Heavy machinery / Mechanical systems (specifically roller bearings),Mechanical systems,Rotating machinery / Bearings,sensor data,"['Fault prediction', 'Remaining Useful Life']",Data driven,"['Deep learning', 'Transfer learning', 'Data fusion']",No,1.0,2-s2.0-85178610966
Power distribution networks,Power systems,,sensor data,Fault prediction,Data driven,"AI algorithms (unspecified), likely machine learning",No,3.0,2-s2.0-85218427743
General prognostics / Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Deep learning,No,3.0,2-s2.0-85102954332
Aero-engine / Rotating machinery,Aicraft / Aviation / Aerospace,Rotating machinery / Bearings,sensor data,Fault prediction,Hybrid,"['Wavelet Transform', 'Time Synchronous Averaging']",Yes: Signal processing techniques,3.0,2-s2.0-85099780524
Gas turbines / Combustion systems,Gas,,sensor data,Fault prediction,Data driven,"Classification model (e.g., possibly SVM, Random Forest, or similar)",Yes: Feature Engineering and Classification,3.0,2-s2.0-85099780766
Electronics manufacturing / Industry 4.0 quality control,Manufacturing systems,,time series,Fault prediction,Data driven,"Long Short-Term Memory (LSTM), perturbation matrix analysis",Yes: sensitivity analysis / perturbation matrix,4.0,2-s2.0-85150473445
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"Drift detection, feature extraction",Yes: rule-based drift detection and feature analysis,4.0,2-s2.0-85210235795
Industrial turbines / Power generation,Industrial systems,,"sensor data, virtual sensors, control signals, thermo-fluodynamic quantities, operational database","Fault prediction, Remaining Useful Life",Data driven,"Virtual sensors, Cloud-based processing, Monitoring algorithms",Yes: Monitoring algorithms and virtual sensors (interpretable components),4.0,2-s2.0-85177224445
Chemical processes,chemical,chemical,sensor data,Fault prediction,Data driven,Neural network,No,2.0,2-s2.0-85204457602
Industrial manufacturing processes,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Diffusion-based generative models, multimodal embedding",No,4.0,2-s2.0-85210252805
Turbomachinery,Other,,sensor data,Model adaptation / Machine-characteristic maps,Data driven,Neural networks,No,2.0,2-s2.0-85177226142
Other,Other,,sensor data,State estimation,Data driven,Numerical simulations,No,2.0,2-s2.0-85138496719
Gas turbine systems,Gas,,"sensor data, time series","Fault prediction, Remaining Useful Life",Hybrid,"Kalman filter, Model-based design techniques",Yes: Kalman filter (interpretable),4.0,2-s2.0-85099779988
Gas turbines,Gas,,sensor data,Trip onset detection,Data driven,LSTM,No,4.0,2-s2.0-85141696013
Robotic systems,Robotics,robots,structured data,Minimal detectable fault,Hybrid,Non-convex optimization,Yes: optimization-based methods,2.0,2-s2.0-85138496142
Aerospace,Aicraft / Aviation / Aerospace,,time series,Remaining Useful Life,Data driven,Deep convolutional neural network (CNN),No,3.0,2-s2.0-85137159325
Industrial systems,Industrial systems,,time series,Remaining Useful Life,Data driven,Gaussian Process,Yes: Gaussian Process,4.0,2-s2.0-85091635302
Urban lighting systems,Civil infrastructure,,sensor data,Data-driven optimization,Data driven,Data-driven,No,1.0,2-s2.0-86000248789
Unmanned Ground Vehicles (UGVs),Transportation systems,Vehicles,"environmental data, weather condition data",Fault prediction,Rules and/or logic based,Markov models,Yes: Markov models,4.0,2-s2.0-85178342236
Electrical safety systems,Electrical systems,,sensors,Fault detection,Data driven,Optical sensors,Yes: interpretability based on sensor signals,2.0,2-s2.0-85084678386
Manufacturing,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,"Regression models, Classification models","Yes: interpretation of features, influence analysis",4.0,2-s2.0-85086993326
Automotive systems,Transportation systems,vehicles,sensor data,Fault prediction,Data driven,Not explicitly specified,No,3.0,2-s2.0-85178349790
Aero-engines,Aicraft / Aviation / Aerospace,,structured data,Remaining Useful Life,Data driven,Deep Neural Network (DNN),Yes: LIME,4.0,2-s2.0-85141396871
Aircraft engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,CNN,No,4.0,2-s2.0-85178388155
Poultry farming / Agricultural systems,Agriculture,,"sensor data, time series",Predictive maintenance,Data driven,Not explicitly specified,No,2.0,2-s2.0-86000265705
Satellite attitude control systems,Satellite systems,,sensor data,['Fault prediction'],Rules and/or logic based,Fault detection and diagnosis (FDD),Yes: rule-based / diagnostic rules,0.0,2-s2.0-85102935059
Aircraft engines,Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,Data driven,LSTM,No,4.0,2-s2.0-85175696927
Other,Other,,time series,Fault prediction,Data driven,"Ordinal partition networks, Topological Data Analysis (Persistent homology)",Yes: Persistent homology,1.0,2-s2.0-85096186077
Industrial infrastructure systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,['Apriori algorithm'],Yes: rule-based,2.0,2-s2.0-85114951912
Electric drive systems in electric vehicles,Transportation systems,Vehicles,sensor data,Fault prediction,Rules and/or logic based,Model-based method (possibly using system models and rules),Yes: Rules-based,2.0,2-s2.0-85091645177
Bioreactor systems / Industrial fermentation processes,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Observer-based fault detection (H8 observer, residual generator)",Yes: Residual-based detection and observer design,2.0,2-s2.0-85111934154
Structural health monitoring,Structural health monitoring,,sensor data,Remaining Useful Life,Data driven,Interpretable neural network with discretized weights,Yes: Discretized neural network with feature fusion reflecting physical properties,3.0,2-s2.0-85150420536
Subway systems / Urban infrastructure,Civil infrastructure,,sensor data,"['Fault prediction', 'Remaining Useful Life']",Data driven,"Predictive analytics (unspecified), possibly machine learning or statistical models",No,2.0,2-s2.0-85216611321
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,,No,3.0,2-s2.0-85204730329
Industrial machines / Mechanical systems / Gearbox systems,Industrial systems,,sensor data,Fault prediction,Data driven,Dilated CNN (Convolutional Neural Network),No,4.0,2-s2.0-85178375374
Autonomous vehicles / Vehicle networks,Transportation systems,Vehicles,sensor data,Fault prediction / Fault localization,Data driven,Transmissibility identification,Yes: Transmissibility identification,3.0,2-s2.0-85089583528
Power generation/OT systems,Power systems,,"sensor data, control system settings, verification of sensor signals, verification of actuator function","Cybersecurity threat detection, attack vector identification",Hybrid,"Monitoring and diagnostics technology, systematic analysis",Yes: Interpretability through analysis of control signals and sensor data,2.0,2-s2.0-85177177107
Automobiles,Transportation systems,vehicles,"sensor data, time series",['Fault prediction'],Data driven,"['Wavelet filtering', 'Regression model']",Yes: Regression model,3.0,2-s2.0-85150425682
Transportation fleets,Transportation systems,,sensor data,"['Remaining Useful Life', 'Fault prediction']",Data driven,['Federated learning'],No,4.0,2-s2.0-85189616727
"Industrial systems (general), including manufacturing and asset management",Industrial systems,,"sensor data, contextual data (maintenance, usage, inspection data)",Data sufficiency assessment for prognostics modeling,Data driven,"Imputation, data quality assessment frameworks",Yes: Data quality assessment frameworks can be interpreted,3.0,2-s2.0-85150424597
Other,Other,,sensor data,"['Fault prediction', 'Remaining Useful Life']",Data driven,"Anomaly detection techniques (implied, e.g., statistical or ML-based anomaly detection)","Yes: explainable AI techniques (e.g., providing tailored explanations, interpretable outputs)",4.0,2-s2.0-85171372360
Manufacturing,Manufacturing systems,,"sensor data, time series",Fault prediction,Data driven,Semi-supervised anomaly detection,No,4.0,2-s2.0-85178367372
Other,Other,,sensor data,Remaining Useful Life,Data driven,Not specified,No,3.0,2-s2.0-85202078260
Fuel systems / Engine systems,Other,,sensor data,Fault prediction,Model-based diagnosis,"Model-based diagnosis, optimization-based control",Yes: Model-based diagnosis and control approach,2.0,2-s2.0-85150435531
Gas turbine / Aerospace engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life / Fault prediction,Data driven,Active subspace method,Yes: Interpretable active subspace technique,4.0,2-s2.0-85204309843
